Category,Renamed Category,Item,Renamed Item,Price,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Beverages,Soda,Coca-Cola Classic (Small),Soda 1 (Regular),1,473,140,0,0,0,0,0,0,39,0,39,0,0,0,0,0
Beverages,Soda,Coca-Cola Classic (Large),Soda 1 (Large),1,887,280,0,0,0,0,0,5,76,0,76,0,0,0,0,0
Beverages,Soda,Dr Pepper (Small),Soda 2 (Regular),1,473,140,0,0,0,0,0,45,37,0,35,0,0,0,0,0
Beverages,Soda,Dr Pepper (Large),Soda 2 (Large),1,887,270,0,0,0,0,0,90,72,0,70,0,0,0,0,0
Beverages,Soda,Sprite (Small),Soda 3 (Regular),1,473,140,0,0,0,0,0,30,37,0,37,0,0,0,0,0
Beverages,Soda,Sprite (Large),Soda 3 (Large),1,887,280,0,0,0,0,0,60,74,0,74,0,0,0,0,0
Beverages,Drinks,Minute Maid Orange Juice (Small),Soda 4 (Regular),1.89,354,150,0,0,0,0,0,0,34,0,30,2,0,117,20,0
Beverages,Drinks,Minute Maid Orange Juice (Large),Soda 4 (Large),2.39,650,280,0,0,0,0,0,5,65,0,58,4,0,216,40,0
Coffee & Tea,Coffee & Tea,Sweet Tea (Small),Soda 5 (Regular),1,473,150,0,0,0,0,0,10,36,0,36,1,0,0,0,0
Coffee & Tea,Coffee & Tea,Sweet Tea (Large),Soda 5 (Large),1,887,220,0,0,0,0,0,10,54,0,54,1,0,0,0,0
Coffee & Tea,Coffee & Tea,Latte (Small),Soda 6 (Regular),2.59,354,170,80,9,5,0,25,115,15,1,12,9,72,0,300,0
Coffee & Tea,Coffee & Tea,Latte (Large),Soda 6 (Large),3.49,591,280,120,14,8,0,40,180,24,1,20,15,135,0,500,0
Coffee & Tea,Coffee & Tea,Caramel Latte (Small),Soda 7 (Regular),2.59,354,270,80,9,5,0,25,115,40,1,38,9,72,0,300,0
Coffee & Tea,Coffee & Tea,Caramel Latte (Large),Soda 7 (Large),3.49,591,430,120,14,8,0,40,180,62,1,59,15,135,0,500,0
Coffee & Tea,Coffee & Tea,Hazelnut Latte (Small),Soda 8 (Regular),2.59,354,270,80,9,5,0,25,115,40,1,38,9,72,0,300,0
Coffee & Tea,Coffee & Tea,Hazelnut Latte (Large),Soda 8 (Large),3.49,591,430,120,14,8,0,40,180,62,1,58,15,135,0,500,0
Coffee & Tea,Coffee & Tea,French Vanilla Latte (Small),Soda 9 (Regular),2.59,354,260,80,9,5,0,25,115,38,1,36,9,72,0,300,0
Coffee & Tea,Coffee & Tea,French Vanilla Latte (Large),Soda 9 (Large),3.49,591,420,120,14,8,0,40,190,60,1,56,15,135,0,500,0
Coffee & Tea,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),Soda 10 (Regular),2.59,354,210,80,9,5,0,25,150,24,1,12,9,72,0,300,0
Coffee & Tea,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),Soda 10 (Large),3.49,591,330,120,14,8,0,40,240,37,2,20,15,135,0,500,0
Coffee & Tea,Coffee & Tea,Mocha (Small),Soda 11 (Regular),2.89,354,340,100,11,7,0,35,150,49,2,42,10,90,0,300,0
Coffee & Tea,Coffee & Tea,Mocha (Large),Soda 11 (Large),3.99,591,500,150,17,10,0.5,50,240,72,2,63,16,135,0,500,1
Coffee & Tea,Coffee & Tea,Mocha with Nonfat Milk (Small),Soda 12 (Regular),2.89,354,270,30,3.5,2,0,15,150,49,2,43,11,90,0,350,0
Coffee & Tea,Coffee & Tea,Mocha with Nonfat Milk (Large),Soda 12 (Large),3.99,591,390,35,4,2.5,0,20,240,73,2,64,17,180,0,500,1
Coffee & Tea,Coffee & Tea,Caramel Mocha (Small),Soda 13 (Regular),2.89,354,320,100,11,7,0,35,170,45,1,40,10,90,0,300,0
Coffee & Tea,Coffee & Tea,Caramel Mocha (Large),Soda 13 (Large),3.99,591,480,150,17,10,0.5,50,270,66,1,60,16,135,0,500,0
Coffee & Tea,Coffee & Tea,Hot Chocolate (Small),Soda 14 (Regular),2.29,354,360,120,13,8,0,40,180,50,1,45,11,90,0,400,0
Coffee & Tea,Coffee & Tea,Hot Chocolate (Large),Soda 14 (Large),2.99,591,540,180,20,12,0.5,60,280,73,1,68,17,180,0,600,1
Smoothies & Shakes,Milkshakes,Blueberry Pomegranate Smoothie (Small),Soda 15 (Regular),2.89,354,220,5,0.5,0,0,5,40,50,3,44,2,0,1,60,0
Smoothies & Shakes,Milkshakes,Blueberry Pomegranate Smoothie (Large),Soda 15 (Large),3.99,650,340,10,1,0.5,0,5,65,79,5,70,4,0,3,100,0
Smoothies & Shakes,Milkshakes,Strawberry Banana Smoothie (Small),Soda 16 (Regular),2.89,354,210,5,0.5,0,0,5,50,47,3,44,3,0,27,80,0
Smoothies & Shakes,Milkshakes,Strawberry Banana Smoothie (Large),Soda 16 (Large),3.99,650,330,10,1,0.5,0,5,80,74,4,70,5,0,40,100,0
Smoothies & Shakes,Milkshakes,Mango Pineapple Smoothie (Small),Soda 17 (Regular),2.89,354,210,5,0.5,0,0,5,40,50,1,46,2,270,18,80,0
Smoothies & Shakes,Milkshakes,Mango Pineapple Smoothie (Large),Soda 17 (Large),3.99,650,340,10,1,0.5,0,5,60,78,2,72,4,450,27,100,0
Smoothies & Shakes,Milkshakes,Vanilla Shake (Small),Soda 18 (Regular),2.79,354,530,140,15,10,1,60,160,86,0,63,11,180,0,400,0
Smoothies & Shakes,Milkshakes,Vanilla Shake (Large),Soda 18 (Large),3.39,650,820,210,23,15,1,90,260,135,0,101,18,270,0,600,0
Smoothies & Shakes,Milkshakes,Strawberry Shake (Small),Soda 19 (Regular),2.79,354,550,150,16,10,1,60,160,90,0,79,12,180,0,400,0
Smoothies & Shakes,Milkshakes,Strawberry Shake (Large),Soda 19 (Large),3.39,650,850,210,24,15,1,90,260,140,0,123,18,270,0,700,0
Smoothies & Shakes,Milkshakes,Chocolate Shake (Small),Soda 20 (Regular),2.79,354,560,150,16,10,1,60,240,91,1,77,12,180,0,400,1
Smoothies & Shakes,Milkshakes,Chocolate Shake (Large),Soda 20 (Large),3.39,650,850,210,23,15,1,85,380,141,2,120,19,270,0,600,2
