Name,Base MSRP,Rear-Wheel HP,Rear-Wheel TQ Lb-Ft,Wet Weight,Average MPG,Top Speed,0–60 mph sec,0–100 mph sec,Quartermile Sec,Quartermile MPH,Braking 60 to 0 mph (feet),Power to Weight,PWRatio,Color
Motorbike 1,10995,101.9,61.2,515,31.6,147,3.03,7.54,10.97,119.55,116.8,5.05,0.2,#B3DE69
Motorbike 2,19995,138,77.9,434,35.9,173,3.01,5.97,10.16,139.58,114.9,3.14,0.32,#CBD5E8
Motorbike 3,11995,127.1,71.1,466,32.6,158,3.15,6.47,10.51,134.32,133.53,3.66,0.27,#E78AC3
Motorbike 4,22995,171.8,86.04,425,34.2,177.6,2.98,5.59,9.91,145.95,119.1,2.47,0.4,#1F78B4
Motorbike 5,8999,61.97,46.58,353.5,57.7,119.5,3.73,11.06,12.05,106.47,117.5,3.89,0.26,#8DD3C7
Motorbike 6,10298,46.21,35.65,336.5,45.6,107.5,4.56,16.78,13.12,96.33,144.2,7.26,0.14,#FED9A6
Motorbike 7,13399,104.5,110.2,668,29.4,130,3.88,9.82,11.91,113.26,120.4,6.39,0.16,#FFFF99
Motorbike 8,12995,118.08,62.68,444.5,41.1,152.3,3.24,7.03,10.88,126.99,112.9,3.76,0.27,#8DA0CB
Motorbike 9,10995,74.7,55.3,451,45,139,3.64,9.49,11.74,112.72,114.4,6.04,0.17,#B3CDE3
Motorbike 10,11998,85.2,60.4,498,37.3,139,3.22,8,11.18,118.05,128.5,5.85,0.17,#FDDAEC
Motorbike 11,12998,92.2,62.6,455,37.1,137,3.6,8.26,11.45,116.58,118.5,4.93,0.2,#CCEBC5
Motorbike 12,14398,85.4,61.1,520,45.4,156,3.45,9.13,11.6,112.27,125,6.09,0.16,#33A02C
Motorbike 13,14999,101.08,64.52,502,37.5,138.1,3.53,9.28,11.7,111.86,127.7,4.97,0.2,#FCCDE5
Motorbike 14,13998,106.8,66.3,476.5,37.7,139,3.32,7.62,11.15,118.71,115.1,4.42,0.23,#7FC97F
Motorbike 15,14398,106.51,67.73,443,38.1,140,3.35,7.64,11.17,118.75,126,4.16,0.24,#CCEBC5
Motorbike 16,12889,163.9,97.2,578,33.8,158,2.86,5.51,9.99,138.42,119.6,3.53,0.28,#D95F02
Motorbike 17,7399,101.7,73.8,542,37,151,3.07,6.97,10.75,125.59,114.2,5.33,0.19,#FB9A99
Motorbike 18,8299,99.2,77.1,560,39.3,152,3.36,8.4,11.34,115.92,116.5,5.65,0.18,#A6D854
Motorbike 19,5799,68.6,36.5,505,32.3,127,3.97,10.72,12.16,108.93,114.1,7.36,0.14,#FFFFCC
Motorbike 20,14799,99.9,70.8,534,30.6,144,3.12,7.39,10.95,121.57,118.5,5.35,0.19,#BEBADA
Motorbike 21,6999,53.9,40.8,500,41.1,114,5.2,17,13.52,96.97,115,9.28,0.11,#CCCCCC
Motorbike 22,7699,56.31,43.48,492,48.4,120.1,5.21,15.62,13.52,97.83,117.1,8.73,0.11,#FF7F00
Motorbike 23,12399,104.8,97.2,761,40.7,128,3.65,8.87,11.62,114.91,135.4,7.26,0.14,#BC80BD
Motorbike 24,12490,69.7,54.1,562,45.4,129,5.14,12.33,13.1,106.2,127.7,8.06,0.12,#FC8D62
Motorbike 25,13590,72.2,61.9,555,43.3,131,3.87,10.74,12.11,108.11,119.4,7.62,0.13,#FB8072
Motorbike 26,18000,121.08,71.85,470.5,30.3,153.5,2.99,6.29,10.5,130.98,115.1,3.89,0.26,#FFFF33
Motorbike 27,12498,115.35,55.11,410,34.4,141.75,3.75,7.17,11.1,127.11,125.5,3.55,0.28,#984EA3
Motorbike 28,14995,115.5,62.2,463.5,32,156,3.24,6.63,10.67,129.47,123.6,4.01,0.25,#E31A1C
Motorbike 29,14990,83.6,73,667,30,123.1,5.05,13,13.3,100.9,119.8,7.95,0.13,#377EB8
Motorbike 30,10999,109.44,64.45,480,44.3,141.7,3.15,7.29,10.99,121.16,114.5,4.38,0.23,#BEAED4
Motorbike 31,11599,150.9,75.7,440,38.5,178,2.95,5.5,9.94,143.12,122.8,2.91,0.34,#E7298A
Motorbike 32,10999,136.1,71.4,463,41,177,3.19,5.9,10.26,139.82,114.4,3.4,0.29,#FFFF99
Motorbike 33,11299,142.6,73.3,449,37.7,177,3,5.54,9.99,143.39,117.5,3.15,0.32,#E6AB02
Motorbike 34,11499,132.9,76.4,555,41.7,170,2.91,6.06,10.24,134.52,112.4,4.18,0.24,#80B1D3
Motorbike 35,10999,134.4,80,563,40.5,174,2.91,5.99,10.24,136.98,115.3,4.19,0.24,#BF5B17
Motorbike 36,7799,90.2,43,460,39.3,153,3.36,7.4,11.03,124.26,114.5,5.1,0.2,#66C2A5
Motorbike 37,7899,94.1,42.9,435,39.7,156,3.46,7.71,11.19,122.78,115.5,4.62,0.22,#B15928
Motorbike 38,8199,96.6,43.6,436,40.7,155,2.89,6.61,10.59,128.23,111.3,4.51,0.22,#F2F2F2
Motorbike 39,8499,90.1,40.3,440,36.7,156,3.52,7.94,11.26,121.56,123.5,4.88,0.2,#F1E2CC
Motorbike 40,10799,99.61,43.01,435,43.1,158.3,3.18,7.03,10.89,125.53,126,4.36,0.23,#1B9E77