Real Name,Name,Price,Weight,Horsepower,Top Speed,Fuel Efficiency,Zero to 60,Brake 60 Distance,Torque,Quartermile Second,Power to Weight,Color
Ninja 650,Motorbike 1,7199,61.47,61.47,515,31.6,3.03,116.8,61.2,10.97,0.600588813,#B3DE69
Ninja 300,Motorbike 2,19995,77.9,138,434,35.9,3.01,114.9,77.9,10.16,0.32,#CBD5E8
ZX6R,Motorbike 3,11995,71.1,127.1,466,32.6,3.15,133.53,71.1,10.51,0.27,#E78AC3
,Motorbike 4,22995,86.04,171.8,425,34.2,3.88,119.1,86.04,9.91,0.4,#1F78B4
,Motorbike 5,8999,46.58,61.97,353.5,57.7,3.73,117.5,46.58,12.05,0.26,#8DD3C7
,Motorbike 6,10298,35.65,46.21,336.5,45.6,4.56,144.2,35.65,13.12,0.14,#FED9A6
,Motorbike 7,13399,110.2,104.5,668,29.4,3.88,120.4,110.2,11.91,0.16,#FFFF99
,Motorbike 8,12995,62.68,118.08,444.5,41.1,3.24,112.9,62.68,10.88,0.27,#8DA0CB
,Motorbike 9,10995,55.3,74.7,451,45,3.64,114.4,55.3,11.74,0.17,#B3CDE3
,Motorbike 10,11998,60.4,85.2,498,37.3,3.22,128.5,60.4,11.18,0.17,#FDDAEC
,Motorbike 11,12998,62.6,92.2,455,37.1,3.6,118.5,62.6,11.45,0.2,#CCEBC5
,Motorbike 12,14398,61.1,85.4,520,45.4,3.45,125,61.1,11.6,0.16,#33A02C
,Motorbike 13,14999,64.52,101.08,502,37.5,3.53,127.7,64.52,11.7,0.2,#FCCDE5
,Motorbike 14,13998,66.3,106.8,476.5,37.7,3.32,115.1,66.3,11.15,0.23,#7FC97F
,Motorbike 15,14398,67.73,106.51,443,38.1,3.35,126,67.73,11.17,0.24,#CCEBC5
,Motorbike 16,12889,97.2,163.9,578,33.8,2.86,119.6,97.2,9.99,0.28,#D95F02
,Motorbike 17,7399,73.8,101.7,542,37,3.07,114.2,73.8,10.75,0.19,#FB9A99
,Motorbike 18,8299,77.1,99.2,560,39.3,3.36,116.5,77.1,11.34,0.18,#A6D854
,Motorbike 19,5799,36.5,68.6,505,32.3,3.97,114.1,36.5,12.16,0.14,#FFFFCC
,Motorbike 20,14799,70.8,99.9,534,30.6,3.12,118.5,70.8,10.95,0.19,#BEBADA
,Motorbike 21,6999,40.8,53.9,500,41.1,5.2,115,40.8,13.52,0.11,#CCCCCC
,Motorbike 22,7699,43.48,56.31,492,48.4,5.21,117.1,43.48,13.52,0.11,#FF7F00
,Motorbike 23,12399,97.2,104.8,761,40.7,3.65,135.4,97.2,11.62,0.14,#BC80BD
,Motorbike 24,12490,54.1,69.7,562,45.4,5.14,127.7,54.1,13.1,0.12,#FC8D62
,Motorbike 25,13590,61.9,72.2,555,43.3,3.87,119.4,61.9,12.11,0.13,#FB8072
,Motorbike 26,18000,71.85,121.08,470.5,30.3,2.99,115.1,71.85,10.5,0.26,#FFFF33
,Motorbike 27,12498,55.11,115.35,410,34.4,3.75,125.5,55.11,11.1,0.28,#984EA3
,Motorbike 28,14995,62.2,115.5,463.5,32,3.24,123.6,62.2,10.67,0.25,#E31A1C
,Motorbike 29,14990,73,83.6,667,30,5.05,119.8,73,13.3,0.13,#377EB8
,Motorbike 30,10999,64.45,109.44,480,44.3,3.15,114.5,64.45,10.99,0.23,#BEAED4
,Motorbike 31,11599,75.7,150.9,440,38.5,2.95,122.8,75.7,9.94,0.34,#E7298A
,Motorbike 32,10999,71.4,136.1,463,41,3.19,114.4,71.4,10.26,0.29,#FFFF99
,Motorbike 33,11299,73.3,142.6,449,37.7,3,117.5,73.3,9.99,0.32,#E6AB02
,Motorbike 34,11499,76.4,132.9,555,41.7,2.91,112.4,76.4,10.24,0.24,#80B1D3
,Motorbike 35,10999,80,134.4,563,40.5,2.91,115.3,80,10.24,0.24,#BF5B17
,Motorbike 36,7799,43,90.2,460,39.3,3.36,114.5,43,11.03,0.2,#66C2A5
,Motorbike 37,7899,42.9,94.1,435,39.7,3.46,115.5,42.9,11.19,0.22,#B15928
,Motorbike 38,8199,43.6,96.6,436,40.7,2.89,111.3,43.6,10.59,0.22,#F2F2F2
,Motorbike 39,8499,40.3,90.1,440,36.7,3.52,123.5,40.3,11.26,0.2,#F1E2CC
,Motorbike 40,10799,43.01,99.61,435,43.1,3.18,126,43.01,10.89,0.23,#1B9E77